Дата,Группа,№ Группы,№ Объявления,Тип площадки,Формат,Размер изображения,Тип устройства,Пол,Категория таргетинга,Упоминание брендов,Уровень платежеспособности,Возраст,Заголовок,Текст,Ссылка,Показы,Взвешенные показы,Клики,CTR (%),wCTR (%),Расход (руб.),Конверсия (%)/Товар добавлен в корзину,Конверсия (%)/Заказ оформлен,Конверсия (%)/Лид с Centra Market//Динамика,Конверсии/Товар добавлен в корзину,Конверсии/Заказ оформлен,Конверсии/Лид с Centra Market//Динамика
15.06.2023,Велосипед Stinger,4296804875,M-9591380676,поиск,текстовый,без изображения,мобильные,не определен,Целевые запросы,не определено,Остальные,не определен,Магазин велосипедов Stinger,Велосипеды Stinger в Иркутске и обл. От 11 450 руб. Бесплатная сборка и настройка!,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Stinger,4296804875,M-9591380678,поиск,графический,с изображением,десктоп,мужской,Запросы с упоминанием конкурентов,не определено,Остальные,35-44,{PHRASEКупить велосипед Stinger},Велосипеды Stinger в Иркутске и обл. От 11 450 руб. Бесплатная сборка и настройка!,,1,0.81,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Женский,4296804877,M-9591380694,поиск,графический,с изображением,десктоп,женский,Целевые запросы,не определено,Остальные,25-34,{PHRASEКупить женский велосипед},Женские велосипеды в Иркутске. Доставка. От 9250 руб. Скидка 15% на все модели!,,1,0.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Женский,4296804877,M-9591380696,поиск,графический,с изображением,десктоп,женский,Целевые запросы,не определено,Остальные,25-34,Купить женский велосипед,Женские велосипеды в Иркутске. Доставка. От 9250 руб. Бесплатная сборка и настройка!,,1,0.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Складной,4296804880,M-9591380710,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,младше 18,Магазин складных велосипедов,Centra Market- Большой выбор складных велосипедов. Более 40 моделей. Модели 2023 г.,,1,0.7,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380722,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,18-24,Магазин детских велосипедов,Centra Market- Большой выбор детских велосипедов. Все модели на сайте. Модели 2023г.,,1,0.67,1,100.0,150.17,26.02,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380722,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,25-34,Магазин детских велосипедов,Centra Market- Большой выбор детских велосипедов. Все модели на сайте. Модели 2023г.,,1,0.9,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380722,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,35-44,Магазин детских велосипедов,Centra Market- Большой выбор детских велосипедов. Все модели на сайте. Модели 2023г.,,1,0.68,1,100.0,146.31,18.21,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380724,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,Остальные,25-34,{PHRASEКупить детский велосипед},Детские велосипеды в Иркутске и обл. Доставка. Бесплатная сборка и настройка!,,1,1.03,1,100.0,97.1,41.47,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380724,поиск,графический,с изображением,десктоп,женский,Целевые запросы,не определено,Остальные,18-24,{PHRASEКупить детский велосипед},Детские велосипеды в Иркутске и обл. Доставка. Бесплатная сборка и настройка!,,1,0.72,1,100.0,138.12,15.49,-,-,-,-,-,-
